date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",172.00,170.40,173.60,170.40,6550.0,0.64%
"Mar 29, 2022",170.90,174.90,174.90,170.00,20530.0,-1.38%
"Mar 28, 2022",173.30,171.50,174.80,170.50,84400.0,1.40%
"Mar 27, 2022",170.90,170.80,173.90,170.20,48300.0,0.06%
"Mar 24, 2022",170.80,172.50,172.50,169.20,10530.0,0.23%
"Mar 23, 2022",170.40,170.00,175.00,170.00,70620.0,-0.29%
"Mar 22, 2022",170.90,170.90,171.90,169.00,63650.0,1.18%
"Mar 21, 2022",168.90,164.00,170.00,164.00,37120.0,2.49%
"Mar 20, 2022",164.80,169.00,172.00,164.10,9400.0,-1.26%
"Mar 16, 2022",166.90,169.00,169.00,164.00,56310.0,0.91%
"Mar 15, 2022",165.40,164.90,167.00,163.00,21460.0,1.29%
"Mar 14, 2022",163.30,163.30,166.00,162.50,20910.0,0.12%
"Mar 13, 2022",163.10,165.90,165.90,162.60,4350.0,0.31%
"Mar 10, 2022",162.60,161.00,169.00,161.00,8140.000000000001,1.06%
"Mar 09, 2022",160.90,158.80,161.00,157.50,17640.0,2.61%
"Mar 08, 2022",156.80,157.00,158.80,154.00,20670.0,0.64%
"Mar 07, 2022",155.80,161.50,161.50,155.00,11640.0,-3.53%
"Mar 06, 2022",161.50,163.00,163.00,161.10,6090.0,-0.92%
"Mar 03, 2022",163.00,163.10,164.00,160.50,6870.0,-0.06%
