date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022","1,340.10","1,343.60","1,346.00","1,339.00",4.83K,-0.02%
"Mar 28, 2022","1,340.40","1,343.00","1,349.90","1,338.50",9.57K,0.03%
"Mar 27, 2022","1,340.00","1,345.00","1,348.00","1,339.10",7.87K,-0.37%
"Mar 24, 2022","1,345.00","1,345.00","1,358.70","1,343.00",17.96K,-1.08%
"Mar 22, 2022","1,359.70","1,350.00","1,363.00","1,345.00",28.40K,1.19%
"Mar 21, 2022","1,343.70","1,338.00","1,355.00","1,338.00",13.88K,-0.25%
"Mar 20, 2022","1,347.10","1,377.90","1,378.00","1,342.00",16.18K,-0.98%
"Mar 16, 2022","1,360.40","1,336.30","1,370.00","1,336.10",21.05K,1.34%
"Mar 15, 2022","1,342.40","1,335.10","1,343.90","1,332.80",7.22K,0.72%
"Mar 14, 2022","1,332.80","1,335.00","1,337.00","1,328.10",3.67K,0.59%
"Mar 13, 2022","1,325.00","1,349.90","1,349.90","1,322.00",23.08K,0.26%
"Mar 10, 2022","1,321.50","1,332.70","1,332.70","1,320.00",11.74K,-0.84%
"Mar 09, 2022","1,332.70","1,330.00","1,339.00","1,315.00",68.39K,2.19%
"Mar 08, 2022","1,304.10","1,352.00","1,352.00","1,282.00",51.05K,-1.93%
"Mar 07, 2022","1,329.70","1,340.00","1,340.20","1,326.00",9.89K,-1.36%
"Mar 06, 2022","1,348.00","1,357.70","1,360.00","1,342.10",91.38K,-0.74%
"Mar 03, 2022","1,358.10","1,355.20","1,359.50","1,353.00",4.53K,0.29%
"Mar 02, 2022","1,354.20","1,361.00","1,362.00","1,352.00",5.12K,-0.54%
