date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",328.10,330.90,331.00,327.10,74.71K,-0.85%
"Mar 28, 2022",330.90,329.90,331.60,328.30,103.01K,0.67%
"Mar 27, 2022",328.70,325.80,331.00,325.00,42.09K,0.95%
"Mar 24, 2022",325.60,325.10,329.00,324.10,62.95K,0.03%
"Mar 23, 2022",325.50,328.00,328.40,323.70,68.84K,0.25%
"Mar 22, 2022",324.70,327.00,327.00,323.30,141.56K,-0.09%
"Mar 21, 2022",325.00,326.20,326.90,322.10,49.62K,-0.34%
"Mar 20, 2022",326.10,326.00,329.40,325.30,35.11K,0.06%
"Mar 16, 2022",325.90,330.10,332.00,325.50,113.89K,-1.84%
"Mar 15, 2022",332.00,334.00,334.00,330.20,30.30K,0.61%
"Mar 14, 2022",330.00,329.90,342.80,327.20,120.15K,0.67%
"Mar 13, 2022",327.80,322.00,329.80,322.00,87.04K,1.74%
"Mar 10, 2022",322.20,324.00,326.90,318.00,119.58K,0.53%
"Mar 09, 2022",320.50,320.00,325.50,318.80,171.79K,1.30%
"Mar 08, 2022",316.40,320.20,320.20,315.00,192.18K,-0.38%
"Mar 07, 2022",317.60,327.90,327.90,317.20,167.37K,-1.70%
"Mar 06, 2022",323.10,333.00,333.00,322.00,150.06K,-1.73%
"Mar 03, 2022",328.80,338.70,338.70,327.50,201.80K,-1.88%
"Mar 02, 2022",335.10,340.50,340.50,333.40,130.68K,-1.53%
