date,price,open,high,low,volume,change
,,,,,,
"Mar 30, 2022",74.90,76.00,76.40,74.90,731060.0,-1.96%
"Mar 29, 2022",76.40,77.90,79.00,76.20,2980000.0,-0.39%
"Mar 28, 2022",76.70,72.00,77.10,71.70,6150000.0,7.12%
"Mar 27, 2022",71.60,72.10,72.60,71.50,874220.0,-0.69%
"Mar 24, 2022",72.10,71.90,72.30,70.80,1060000.0,0.98%
"Mar 23, 2022",71.40,70.90,72.60,70.40,1440000.0,2.15%
"Mar 22, 2022",69.90,68.30,70.30,68.20,751440.0,2.49%
"Mar 21, 2022",68.20,68.00,68.50,67.00,503540.0,-0.15%
"Mar 20, 2022",68.30,69.50,69.70,68.30,891450.0,-1.87%
"Mar 16, 2022",69.60,70.50,70.50,69.50,716270.0,-1.28%
"Mar 15, 2022",70.50,70.60,71.10,69.80,1030000.0,-0.56%
"Mar 14, 2022",70.90,71.10,71.80,70.10,1630000.0,0.71%
"Mar 13, 2022",70.40,67.90,70.80,67.10,2250000.0,5.07%
"Mar 10, 2022",67.00,67.40,68.20,66.20,1540000.0,-0.15%
"Mar 09, 2022",67.10,64.70,67.70,64.70,1830000.0,4.68%
"Mar 08, 2022",64.10,62.80,64.90,59.70,2049999.9999999998,3.39%
"Mar 07, 2022",62.00,66.40,66.60,61.80,2120000.0,-6.63%
"Mar 06, 2022",66.40,68.60,68.60,66.10,818220.0,-2.06%
"Mar 03, 2022",67.80,68.40,68.40,66.90,859880.0,-0.73%
