date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",137.90,137.50,139.50,137.50,103.72K,0.44%
"Mar 28, 2022",137.30,138.20,139.40,137.10,154.07K,-0.94%
"Mar 27, 2022",138.60,138.30,139.20,138.10,55.31K,0.22%
"Mar 24, 2022",138.30,139.30,139.90,138.00,71.48K,-0.22%
"Mar 23, 2022",138.60,140.80,140.80,138.20,88.99K,-0.50%
"Mar 22, 2022",139.30,137.50,140.00,137.50,78.58K,1.31%
"Mar 21, 2022",137.50,137.50,138.20,136.20,66.39K,-0.15%
"Mar 20, 2022",137.70,141.00,141.00,137.00,124.08K,-1.43%
"Mar 16, 2022",139.70,140.10,141.20,139.20,214.66K,-0.21%
"Mar 15, 2022",140.00,140.20,141.70,139.50,245.95K,-0.36%
"Mar 14, 2022",140.50,142.50,142.50,140.10,247.60K,-1.33%
"Mar 13, 2022",142.40,139.90,143.00,139.00,264.86K,2.59%
"Mar 10, 2022",138.80,141.70,142.70,138.50,364.31K,0.43%
"Mar 09, 2022",138.20,138.10,141.80,136.30,459.36K,0.80%
"Mar 08, 2022",137.10,139.50,145.90,133.20,549.66K,-2.07%
"Mar 07, 2022",140.00,144.00,144.10,139.50,209.84K,-3.45%
"Mar 06, 2022",145.00,146.70,149.90,144.50,95.50K,-1.16%
"Mar 03, 2022",146.70,148.50,148.50,145.10,117.00K,-0.27%
"Mar 02, 2022",147.10,149.30,149.50,146.80,159.36K,-1.93%
