date,price,open,high,low,volume,change
,,,,,,
"Mar 29, 2022",582.80,589.70,589.70,582.40,116.60K,-0.39%
"Mar 28, 2022",585.10,585.80,586.00,584.40,123.65K,-0.12%
"Mar 27, 2022",585.80,586.20,586.50,583.50,118.24K,-0.05%
"Mar 24, 2022",586.10,589.10,589.50,585.40,71.68K,-0.51%
"Mar 23, 2022",589.10,589.60,593.00,588.00,70.40K,-0.08%
"Mar 22, 2022",589.60,590.00,590.90,585.20,66.91K,0.20%
"Mar 21, 2022",588.40,586.80,590.70,582.00,56.01K,0.19%
"Mar 20, 2022",587.30,597.00,597.00,586.90,83.77K,-1.34%
"Mar 16, 2022",595.30,593.20,596.80,593.20,79.28K,0.46%
"Mar 15, 2022",592.60,593.00,595.00,591.70,101.21K,0.32%
"Mar 14, 2022",590.70,589.00,593.80,587.40,96.16K,0.48%
"Mar 13, 2022",587.90,584.90,590.00,580.00,110.42K,1.52%
"Mar 10, 2022",579.10,575.00,589.00,575.00,166.83K,0.92%
"Mar 09, 2022",573.80,570.00,579.00,567.00,209.24K,1.25%
"Mar 08, 2022",566.70,573.40,578.50,550.10,330.91K,-1.17%
"Mar 07, 2022",573.40,593.10,594.00,572.50,293.09K,-3.03%
"Mar 06, 2022",591.30,601.00,601.00,589.20,368.53K,-3.43%
"Mar 02, 2022",612.30,613.30,613.40,610.10,279.30K,-0.24%
